governorate,year,illitracy
jenin,1997,15432
tubas,1997,3535
tulkarm,1997,10611
nablus,1997,17284
qalqilya,1997,5761
salfit,1997,3871
ramallah_bireh,1997,16645
jericho,1997,2955
jerusalem,1997,7771
bethlehem,1997,9830
hebron,1997,32610
northgaza,1997,13235
gaza,1997,22781
deir_albalah,1997,10718
khanyunis,1997,14752
rafah,1997,9252
jenin,2007,10920
tubas,2007,2570
tulkarm,2007,6762
nablus,2007,11536
qalqilya,2007,3768
salfit,2007,2818
ramallah_bireh,2007,11039
jericho,2007,2098
jerusalem,2007,4375
bethlehem,2007,6858
hebron,2007,24804
northgaza,2007,9384
gaza,2007,12944
deir_albalah,2007,6991
khanyunis,2007,10151
rafah,2007,6909
jenin,2017,6056
tubas,2017,1955
tulkarm,2017,3688
nablus,2017,7761
qalqilya,2017,2102
salfit,2017,1724
ramallah_bireh,2017,9806
jericho,2017,1962
jerusalem,2017,4377
bethlehem,2017,3938
hebron,2017,18554
northgaza,2017,6410
gaza,2017,9493
deir_albalah,2017,4344
khanyunis,2017,6709
rafah,2017,4849
